sample_id,method,content,reference,prediction
valid_000001,TextRank,日前，方舟子发文直指林志颖旗下爱碧丽推销假保健品，引起哗然。调查发现，爱碧丽没有自己的生产加工厂。其胶原蛋白饮品无核心研发，全部代工生产。号称有“逆生长”功效的爱碧丽“梦幻奇迹限量组”售价高达1080元，实际成本仅为每瓶4元！,林志颖公司疑涉虚假营销无厂房无研发,日前，方舟子发文直指林志颖旗下爱碧丽推销假保健品，引起哗然。调查发现，爱碧丽没有自己的生产加工厂。
valid_000002,TextRank,韩方应对路径可以概括为：企业道歉担责；政府公正不护短；民间祈福关怀。他们深知形象的重要，竭力呵护企业品牌和国家形象。正如有评论，韩国“政府+企业+民众”三位一体式呵护韩国国家形象的“苦心经营”，的确有值得我们借鉴之处。,从韩亚航空事故看其应对路径,他们深知形象的重要，竭力呵护企业品牌和国家形象。正如有评论，韩国“政府+企业+民众”三位一体式呵护韩国国家形象的“苦心经营”，的
valid_000003,TextRank,63岁退休教师谢淑华，拉着人力板车，历时1年，走了2万4千里路，带着年过九旬的妈妈环游中国，完成了妈妈“一辈子在锅台边转，也想出去走走”的心愿。她说：“妈妈愿意出去走走，我就愿意拉着，孝心不能等，能走多远就走多远。,女子用板车拉九旬老母环游中国1年走2万4千里,63岁退休教师谢淑华，拉着人力板车，历时1年，走了2万4千里路，带着年过九旬的妈妈环游中国，完成了妈妈“一辈子在锅台边转，也想出
valid_000004,TextRank,昨天，包括工农中建交五大行在内的多家银行，不约而同地在官网发布公告称，它们的房地产贷款政策没有变化。多家银行表示，会支持居民购买首套住房。一名金融问题专家称，“目前房价不具备大涨大跌的基础，特别是一二线城市狂跌的可能性小。”,银行集体发声：房贷政策没变,昨天，包括工农中建交五大行在内的多家银行，不约而同地在官网发布公告称，它们的房地产贷款政策没有变化。多家银行表示，会支持居民购买
valid_000005,TextRank,广东4名律师致函中国民航局，要求其规定，航班起飞前要向乘客公布机组人员信息包括安全飞行时间、职业经历等。沪上业内人士认为，一般能被安排执飞任务的飞行员，均拥有民航认可的飞行资质。而责任心和使命感是无法通过飞行时间反映。,四律师上书民航总局：起飞前应公布机长信息,广东4名律师致函中国民航局，要求其规定，航班起飞前要向乘客公布机组人员信息包括安全飞行时间、职业经历等。而责任心和使命感是无法通
valid_000006,TextRank,任教五十年，钱理群在2012年教师节前夕宣布“告别教育”。从北大退休后，钱理群投身中学教育，试图“改变人心”，他以鲁迅自励，要在绝望中反抗，但基础教育十年试水，却令他收获“丰富的痛苦”。他说，—切不能为应试教育服务的教育根本无立足之地。,钱理群“告别教育”,任教五十年，钱理群在2012年教师节前夕宣布“告别教育”。从北大退休后，钱理群投身中学教育，试图“改变人心”，他以鲁迅自励，要在
valid_000007,TextRank,①北京和上海户籍的游客可获得韩国多次签证；②“整容客”可以不经由韩国使领馆、直接在网上申请签证；③中泰免签的实施日期尚未敲定；④越南已向中国持通行证旅游的公民全面开放。,中国游客大增多国放宽签证,①北京和上海户籍的游客可获得韩国多次签证；②“整容客”可以不经由韩国使领馆、直接在网上申请签证；
valid_000008,TextRank,"12月12日，多家被立案稽查的沪市公司集体对外发布退市风险提示公告，*ST国创位列""""黑名单""""。目前证监会调查仍在进行，*ST国创尚未收到此次立案调查书面结论意见。一旦立案调查事项触及相关规定，公司股票将被实施退市风险警示。""",信披违规外加业绩亏损*ST国创退市风险概率大增,"12月12日，多家被立案稽查的沪市公司集体对外发布退市风险提示公告，*ST国创位列""""黑名单""""。一旦立案调查事项触及相关规定，"
valid_000009,TextRank,据微信公众号“界面”报道，4日上午10点左右，中国发改委反垄断调查小组突击查访奔驰上海办事处，调取数据材料，并对多名奔驰高管进行了约谈。截止昨日晚9点，包括北京梅赛德斯-奔驰销售服务有限公司东区总经理在内的多名管理人员仍留在上海办公室内,发改委反垄断调查小组突击调查奔驰上海办事处,据微信公众号“界面”报道，4日上午10点左右，中国发改委反垄断调查小组突击查访奔驰上海办事处，调取数据材料，并对多名奔驰高管进行
valid_000010,TextRank,12日，上周遭到极端分子恐怖袭击的《查理周刊》公布了“幸存者专刊”的封面，绿色的底色上，穆罕默德嘴角向下，手中举着一周来所有人都耳熟能详的口号：我是查理。这名伊斯兰教先知的头顶上还写着一句话：宽恕与原谅。该封面的作者上周因为迟到逃过一劫。,巴黎查理周刊最新一期封面（图）,12日，上周遭到极端分子恐怖袭击的《查理周刊》公布了“幸存者专刊”的封面，绿色的底色上，穆罕默德嘴角向下，手中举着一周来所有人都
