sample_id,method,title,gold_keywords,pred_keywords
csl_000001,TF-IDF,分布式系统中的检查点算法,检查点;分布式程序;异步检查点算法;一致检查点算法,检查点;算法;分布式系统;分布式;进程;程序;程序运行;改进;减少;并行性
csl_000002,TF-IDF,轧辊的失效及其修复技术,冷轧辊;热轧辊;失效;修复;表面改性技术,轧辊;修复;失效;技术;报废;轧机;表面;用材;合金化;材质
csl_000003,TF-IDF,活检钳不同预清洗方法的清洗质量评价,活检钳;清洗方法;预清洗;清洗质量;潜血试验;ATP 生物荧光检测,清洗;00;活检;器械;合格率;潜血;目测;检测;质量;浸泡
csl_000004,TF-IDF,Rhn(n=2～20)团簇结构和磁特性,铑团簇;遗传算法;结构;磁性,团簇;束缚;平均;原子;电子;Eb;计算;5s;价电子;结构
csl_000005,TF-IDF,一种反激式DC-DC变换器设计与研究,反激式DC-DC变换器;寄生参数;钳位电路,DC;变换器;反激式;电路;开关;设计;参数;多路;初次;寄生
csl_000006,TF-IDF,航天测控系统卫星鉴定技术研究,卫星鉴定;SLR卫星;EMBET;高斯-马尔可夫估计;主成分估计,卫星;鉴定;测控;航天;可行性;统计;系统;技术;精度;方法
csl_000007,TF-IDF,不同能量摄入对围产期奶牛脂肪组织胰岛素受体mRNA丰度的影响,能量摄入;围产期奶牛;脂肪组织;胰岛素受体mRNA;半定量RT-PCR方法,产后;摄入;奶牛;InsR;饲喂;mRNA;日粮;围产期;高能;能量
csl_000008,TF-IDF,重大军事行动报道的成功实践——兼谈对外开放军事行动中新闻的管控与发布,重大军事行动;成功实践;对外开放;新闻;军事演习;合作组织;训练场;俄罗斯;城市车;成员国;中部;使命;上海;合同;反恐,军事行动;成功实践;巴尔;帷幕;成员国;反恐;管控;兼谈;全体;对外开放
csl_000009,TF-IDF,不忘艺术初心搞好高校“双创”,文化建设;高校;艺术教育;双创;中国特色的艺术学;可持续发展,双创;艺术;教育;习近平;总书记;高校;真正;业态;重要讲话;精神
csl_000010,TF-IDF,一种业务概念模型驱动的需求分析与获取方法,军事电子信息系统;需求工程;需求建模;业务语义框架;业务概念模型,建模;信息系统;需求;军事;业务;电子;方法;定义;框架;ESS
csl_000011,TF-IDF,暖温带幼林树轮宽度气候变化响应分析--以山东蒙山黑松树轮气候研究为例,蒙山;黑松;树轮宽度;气候响应,蒙山;松树;黑松;年表;宽度;树轮;气候;径向;生长;当年
csl_000012,TF-IDF,关于集成化汽车故障诊断系统及其支持技术研究,汽车;故障诊断;集成系统;网络化,故障诊断;集成化;汽车;模块;获取;支持;网络通讯;系统;推理方法;信息
csl_000013,TF-IDF,北秦岭西段胡店片麻状二长花岗岩LA-ICP-MS锆石U-Pb测年及其地质意义,北秦岭造山带;胡店片麻状二长花岗岩;U-Pb同位素;吕梁运动;ColuInbia超大陆,秦岭;西段;花岗岩;侵入体;构造;二长;元古代;LA;细粒;造山带
csl_000014,TF-IDF,太阳河自然保护区西南桦天然次生林乔木种群生态位分析,西南桦林;红木荷;重要值;生态位宽度;生态位重叠;相关性分析,种群;西南;生态;次生林;宽度;重叠;木荷;天然;自然保护区;太阳
