query_id,query_label,query_content,rank,rec_news_id,rec_label,rec_title,score
test_006495,体育,女排亚洲杯中国首战首发：大梅任队长 刘亚男接应 新浪体育讯 北京时间10月1日，首届女排亚洲杯在泰国拉开战幕，中国女排迎来小组赛的首个对手马来西亚女排。马来西亚,1,test_006495,体育,女排亚洲杯中国首战首发：大梅任队长 刘亚男接应 新浪体育讯 北京时间10月1日，首届女排亚洲杯在泰国,0.9773
test_006495,体育,女排亚洲杯中国首战首发：大梅任队长 刘亚男接应 新浪体育讯 北京时间10月1日，首届女排亚洲杯在泰国拉开战幕，中国女排迎来小组赛的首个对手马来西亚女排。马来西亚,2,train_087270,体育,中国女排VS多米尼加首发：薛明马蕴雯大梅皆出战 新浪体育讯 北京时间7月31日晚，中国女排将在宁波北,0.5625
test_006495,体育,女排亚洲杯中国首战首发：大梅任队长 刘亚男接应 新浪体育讯 北京时间10月1日，首届女排亚洲杯在泰国拉开战幕，中国女排迎来小组赛的首个对手马来西亚女排。马来西亚,3,train_072056,体育,大奖赛中国女排VS巴西首发：主攻楚金玲搭档李娟 新浪体育讯 北京时间8月9日，2009年世界女排大奖,0.4827
test_009173,体育,NCAA4强战明星们选情飙升 坎巴已经杀入选秀前十 新浪体育讯 今年最终四强战今天在休斯顿落下帷幕，虽然北卡、杜克、堪萨斯、俄亥俄州立等强队早早出局，但今年的最,1,test_009173,体育,NCAA4强战明星们选情飙升 坎巴已经杀入选秀前十 新浪体育讯 今年最终四强战今天在休斯顿落下帷幕，,0.5541
test_009173,体育,NCAA4强战明星们选情飙升 坎巴已经杀入选秀前十 新浪体育讯 今年最终四强战今天在休斯顿落下帷幕，虽然北卡、杜克、堪萨斯、俄亥俄州立等强队早早出局，但今年的最,2,train_068898,体育,NBL外援选秀戴尔斯成状元 新赛季下月在宁夏揭幕 新华社北京5月16日体育专电（记者单磊）全国男子篮,0.2559
test_009173,体育,NCAA4强战明星们选情飙升 坎巴已经杀入选秀前十 新浪体育讯 今年最终四强战今天在休斯顿落下帷幕，虽然北卡、杜克、堪萨斯、俄亥俄州立等强队早早出局，但今年的最,3,train_054582,体育,ESPN篮球游戏超级选秀即将引爆 看谁是真的英雄！ 新浪体育讯 通往ESPN《篮球经理》大联盟总冠军,0.2531
test_006395,娱乐,《李小龙传奇》解密李小龙传奇初恋故事(图) 新浪娱乐讯 重现功夫巨星李小龙传奇一生的央视大剧《李小龙传奇》于上周完美收声，作为一位武术大师和电影明星，除了功夫外,1,test_006395,娱乐,《李小龙传奇》解密李小龙传奇初恋故事(图) 新浪娱乐讯 重现功夫巨星李小龙传奇一生的央视大剧《李小龙,0.8499
test_006395,娱乐,《李小龙传奇》解密李小龙传奇初恋故事(图) 新浪娱乐讯 重现功夫巨星李小龙传奇一生的央视大剧《李小龙传奇》于上周完美收声，作为一位武术大师和电影明星，除了功夫外,2,test_011966,娱乐,李小龙家人批评电视剧瞎编 要拍最真实电影版本 本报讯(记者易东方) 昨天，吉安永嘉公司在北京宣布，将,0.7248
test_006395,娱乐,《李小龙传奇》解密李小龙传奇初恋故事(图) 新浪娱乐讯 重现功夫巨星李小龙传奇一生的央视大剧《李小龙传奇》于上周完美收声，作为一位武术大师和电影明星，除了功夫外,3,train_006684,娱乐,叶璇成《李小龙》传奇至亲 自曝与李小龙很有缘 新浪娱乐讯 传记电影《李小龙》于11月26日全国公映，,0.7027
test_009198,娱乐,组图：刘若英否认新恋情 新书感悟不完美爱情 新浪娱乐讯 时隔五年，刘若英(奶茶)再度以作家身分出新书《我的不完美》，14日举行新书发表会，爸爸妈妈也特地前来为她,1,test_009198,娱乐,组图：刘若英否认新恋情 新书感悟不完美爱情 新浪娱乐讯 时隔五年，刘若英(奶茶)再度以作家身分出新书,0.9316
